City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,seoul,126.9778,37.5683,-2.22,28,0,5.14,KR,1670118918
167,souillac,57.5167,-20.5167,23.21,83,40,0.0,MU,1670118918
168,roebourne,117.1333,-20.7833,36.81,25,1,3.88,AU,1670118919
169,sur,59.5289,22.5667,22.39,63,0,2.58,OM,1670118919
170,beringovskiy,179.3167,63.05,1.03,99,100,5.04,RU,1670118920
171,qaanaaq,-69.3632,77.484,-17.83,85,100,0.92,GL,1670118921
172,minab,57.0801,27.1467,16.18,77,3,0.0,IR,1670118921
173,kardailovo,53.9042,51.5386,-12.93,67,0,2.64,RU,1670118922
174,janakkala,24.6,60.9,-5.11,99,97,0.46,FI,1670118922
175,salinopolis,-47.3561,-0.6136,25.89,79,100,3.74,BR,1670118905
176,severo-yeniseyskiy,93.0408,60.3725,-27.33,100,75,1.71,RU,1670118923
177,marsh+harbour,-77.0636,26.5412,24.08,61,0,7.4,BS,1670118924
178,west+bay,-81.4167,19.3667,28.04,79,20,6.69,KY,1670118806
179,camocim,-40.8411,-2.9022,26.38,78,100,5.88,BR,1670118924
180,cape+town,18.4232,-33.9258,16.6,70,20,6.69,ZA,1670118801
181,pinawa,-95.8811,50.1489,-14.89,82,97,4.32,CA,1670118925
182,bambous+virieux,57.7575,-20.3428,23.14,83,40,0.0,MU,1670118926
183,ulaanbaatar,106.8832,47.9077,-32.93,62,18,1.0,MN,1670118710
184,port+keats,129.55,-14.25,33.48,44,89,4.4,AU,1670118927
185,krivosheino,83.9261,57.3431,-19.68,90,100,2.74,RU,1670118927
186,kahului,-156.47,20.8947,26.02,81,61,4.92,US,1670118928
187,boa+vista,-60.6733,2.8197,23.99,88,75,4.63,BR,1670118928
188,dandong,124.3947,40.1292,-6.83,24,0,5.04,CN,1670118929
189,kurchum,83.6542,48.5722,-19.36,92,100,1.02,KZ,1670118929
190,sfantu+gheorghe,25.7833,45.8667,5.7,87,100,2.3,RO,1670118930
191,denpasar,115.2167,-8.65,29.84,74,40,1.54,ID,1670118870
192,ust-kuyga,135.6,70.0167,-22.79,98,100,4.63,RU,1670118931
193,kavieng,150.7967,-2.5744,26.89,78,100,2.44,PG,1670118931
194,constitucion,-72.4167,-35.3333,13.92,72,76,5.95,CL,1670118932
195,coahuayana,-103.6833,18.7333,24.4,87,78,0.55,MX,1670118932
196,ubatuba,-45.0711,-23.4339,23.9,92,100,1.39,BR,1670118933
197,tuktoyaktuk,-133.0374,69.4541,-12.0,85,75,9.77,CA,1670118933
198,upernavik,-56.1549,72.7868,-6.8,66,100,12.27,GL,1670118934
